Iteration; Rate
5;21.06
19;58.91
29;59.99
42;60.00
52;27.25
66;58.90
76;60.00
88;58.88
98;60.00
111;60.00
121;60.00
132;57.77
144;60.01
155;59.99
165;59.98
178;60.00
189;60.00
201;23.78
211;58.85
225;58.79
235;59.99
249;19.13
257;59.99
270;60.00
280;60.00
292;59.93
303;60.00
313;60.00
324;58.27
336;60.00
346;19.50
360;20.32
368;59.26
382;24.81
391;60.00
404;58.97
414;59.99
426;59.29
436;59.97
448;59.97
459;59.11
471;60.00
481;17.81
494;60.00
505;59.09
518;59.99
528;21.75
542;58.65
552;60.00
565;20.94
575;59.00
589;59.99
598;60.02
610;60.00
619;60.00
632;60.00
642;59.36
653;58.64
665;59.99
677;60.00
688;58.56
701;60.00
711;58.88
723;60.00
733;60.00
746;60.00
756;58.40
770;59.85
779;59.99
792;57.30
802;59.98
815;60.00
825;59.99
837;60.00
849;59.99
858;59.99
870;58.06
881;60.00
891;23.02
905;60.00
915;60.00
929;20.21
936;22.55
951;21.58
961;58.88
975;58.87
984;59.13
996;59.66
1005;21.89
1019;60.00
1029;23.03
1043;60.00
1054;57.89
1063;59.99
1077;57.30
1089;58.88
1100;59.97
1112;60.00
1122;24.50
1136;59.76
1146;60.00
1159;23.36
1169;57.21
1182;59.84
1191;59.30
1204;60.00
1213;21.41
1225;60.00
1236;59.18
1248;58.74
1259;59.99
