Iteration; Rate
3;1.14
11;40.99
22;60.00
34;24.14
46;57.36
58;59.99
66;60.00
78;59.97
90;60.00
102;60.00
114;58.99
125;60.00
137;60.02
147;60.00
158;60.00
170;60.00
176;59.08
188;60.00
200;59.40
211;59.84
223;60.00
235;59.99
244;58.17
256;59.62
268;60.00
280;57.44
292;58.13
302;60.00
311;59.99
322;57.67
334;57.34
345;56.43
357;56.39
369;56.59
379;60.00
383;6.42
390;7.79
402;59.99
414;60.00
422;58.88
433;57.56
434;25.67
446;59.99
458;56.88
470;60.00
481;58.44
482;24.90
494;58.74
505;55.98
516;58.76
527;51.48
537;55.28
548;56.70
559;57.28
570;38.67
577;22.38
588;55.27
599;56.95
610;52.72
621;51.86
632;50.81
643;53.18
654;56.57
665;53.43
676;52.72
688;58.40
699;55.84
710;55.30
720;37.33
721;25.53
733;56.84
744;58.09
755;54.68
767;55.75
778;49.93
779;22.71
791;56.87
802;56.79
814;57.69
825;56.05
826;20.83
838;56.02
849;56.59
860;56.78
869;56.37
880;58.47
891;55.52
902;54.67
913;55.10
924;53.58
935;55.32
946;55.11
957;52.48
968;57.97
977;59.99
984;59.25
995;55.83
1006;58.28
1018;57.17
1029;56.05
1040;56.68
1051;58.23
1063;55.82
1074;49.90
1085;47.64
1094;60.00
1095;24.91
1107;60.00
1119;56.88
1130;57.97
1142;59.40
1154;57.87
1165;57.34
1176;56.93
1187;52.86
1198;52.72
1209;48.02
1219;52.66
1230;59.31
1241;55.77
1252;54.46
1263;50.89
1274;57.45
1285;54.84
1295;49.07
1305;51.84
1316;52.70
1327;54.34
1336;52.95
1347;49.42
1357;50.33
1358;20.08
1369;51.60
1380;57.54
1391;53.59
1401;57.43
1411;52.63
1421;56.32
1432;57.31
1443;52.91
1454;53.64
1465;59.73
1476;52.23
1487;51.09
1498;51.59
1509;56.03
1520;52.41
1530;52.76
1540;50.24
1550;50.18
1560;50.79
1571;56.85
1582;58.53
1589;55.03
1600;55.62
1611;55.17
1621;57.38
1622;23.87
1633;54.95
1644;52.65
1655;52.99
1665;51.26
1671;8.14
1682;53.31
1693;54.51
1704;52.92
1714;48.54
1715;20.23
1726;54.76
1737;57.48
1749;59.77
1760;37.45
1771;56.37
1781;50.71
1792;57.87
1803;58.68
1814;56.48
1824;51.44
1835;60.00
1842;21.02
1853;60.00
1865;57.72
1874;51.67
1885;52.27
1896;54.94
1907;55.84
1918;51.69
1926;51.66
1937;54.66
1948;56.17
1959;53.97
1970;54.46
1981;51.31
1992;52.21
1999;7.07
2010;54.30
2021;39.68
2032;56.67
2043;54.96
2053;56.20
2064;53.99
2074;49.41
2085;59.30
2096;53.18
2106;51.68
2107;20.93
2118;47.76
2128;48.22
2138;54.18
2148;54.28
2159;57.91
2169;50.91
2178;47.64
2187;47.10
2196;50.41
2205;49.47
2214;43.75
2224;54.87
2234;50.28
2244;56.43
2254;57.02
2264;55.32
2274;52.91
2284;48.53
2292;47.45
2302;39.74
2311;41.60
2320;39.95
2329;37.78
2339;40.86
2349;51.54
2359;48.65
2369;54.01
2380;52.11
2388;51.78
2399;50.46
2410;57.55
2420;54.00
2431;57.15
2443;56.36
2455;60.00
2466;58.06
2477;52.78
2488;52.29
2499;47.72
2510;52.96
2521;55.17
2522;24.10
2533;51.51
2544;53.02
2555;53.71
2566;53.18
2577;55.06
2589;53.14
2598;57.03
2609;54.60
2620;58.25
2632;60.00
2644;59.97
2656;58.19
2668;60.00
2680;58.01
2691;50.53
2701;39.96
2711;49.30
2721;58.45
2722;22.02
2732;53.02
2743;48.48
2753;56.31
2764;57.26
2775;50.25
2787;59.99
2799;53.65
2811;60.01
2823;59.70
2835;60.00
2846;59.99
2856;24.14
2861;20.10
2866;21.00
2872;52.06
2883;53.99
2894;55.26
2905;52.79
2914;45.45
2925;53.99
2935;50.33
2945;50.09
2955;52.70
2965;51.65
2975;52.67
2986;54.94
2996;44.71
3006;47.37
3016;50.08
3017;23.36
3028;50.47
3038;33.56
3044;19.67
3051;33.42
3059;51.96
3069;55.84
3080;52.55
3091;54.30
3102;53.62
3112;56.14
3113;12.07
3124;56.57
3133;50.45
3143;51.68
3154;53.33
3164;52.35
3175;53.87
3186;52.07
3196;55.01
3197;19.22
3208;55.13
3219;55.01
3230;58.86
3241;49.40
3252;54.00
3263;50.93
3274;47.84
3284;51.26
3294;51.77
3295;22.35
3305;42.37
3316;51.40
3326;49.96
3336;46.20
3346;46.18
3354;48.59
3364;50.27
3374;50.41
3375;20.19
3386;44.47
3397;53.74
3407;51.66
3418;51.08
3428;56.74
3429;21.59
3439;43.39
3449;52.64
3458;58.25
3468;51.23
3477;53.37
3487;44.44
3497;55.33
3508;54.26
3519;53.03
3528;53.14
3539;56.59
3550;53.24
3561;57.37
3572;53.03
3582;53.27
3593;52.14
3604;49.58
3615;52.51
3626;53.93
3636;51.75
3647;54.45
3657;51.44
3668;52.04
3678;50.69
3688;52.60
3698;50.39
3708;42.79
3718;53.98
3728;51.69
3738;49.74
3748;48.84
3756;51.10
3766;52.34
3776;54.16
3777;22.58
3788;53.38
3799;52.49
3810;57.18
3820;48.74
3829;44.80
3839;43.77
3849;54.47
3858;51.91
3869;51.14
3879;55.51
3889;40.42
3899;50.67
3900;22.77
3911;55.01
3912;22.97
3923;52.05
3933;51.85
3944;55.02
3952;45.77
3962;52.58
3972;48.86
3982;47.38
3992;51.20
4000;49.50
4010;39.65
4020;51.19
4029;48.70
4038;48.15
4047;50.92
