Iteration; Rate
1;0.33
2;5.80
3;1.14
4;9.56
5;18.14
6;59.99
7;57.87
8;18.45
9;59.99
10;59.45
11;40.99
12;24.39
13;54.65
14;60.00
15;53.57
16;52.84
17;23.02
18;59.95
19;59.65
20;55.56
21;56.71
22;60.00
23;21.02
24;54.08
25;53.18
26;59.31
27;60.00
28;58.98
29;59.95
30;60.04
31;60.00
32;54.52
33;28.15
34;24.14
35;27.08
36;55.48
37;47.84
38;53.66
39;54.29
40;59.76
41;53.93
42;33.95
43;59.95
44;59.99
45;60.01
46;57.36
47;23.47
48;40.26
49;52.75
50;56.53
51;50.95
52;56.52
53;39.52
54;59.53
55;59.99
56;58.64
57;60.00
58;59.99
59;28.52
60;55.14
61;9.86
62;42.09
63;59.95
64;60.04
65;59.98
66;60.00
67;26.81
68;47.93
69;50.34
70;54.23
71;52.96
72;55.93
73;49.93
74;44.52
75;59.95
76;59.99
77;59.99
78;59.97
79;27.24
80;36.70
81;46.42
82;56.37
83;55.11
84;53.69
85;37.66
86;60.00
87;59.99
88;59.97
89;60.02
90;60.00
91;27.82
92;52.31
93;48.69
94;52.93
95;52.16
96;56.75
97;49.99
98;40.91
99;60.00
100;57.95
101;60.00
102;60.00
103;22.80
104;56.36
105;51.08
106;55.66
107;55.04
108;55.07
109;37.24
110;59.99
111;59.95
112;59.80
113;60.00
114;58.99
115;29.71
116;53.95
117;55.68
118;57.43
119;58.50
120;59.71
121;50.75
122;19.29
123;59.99
124;59.61
125;60.00
126;22.92
127;59.05
128;47.60
129;53.04
130;57.91
131;60.00
132;49.97
133;41.98
134;58.20
135;57.26
136;59.97
137;60.02
138;28.53
139;49.44
140;48.07
141;15.82
142;46.42
143;57.86
144;58.81
145;58.66
146;60.00
147;60.00
148;22.14
149;51.91
150;26.52
151;54.43
152;55.10
153;59.99
154;60.00
155;41.35
156;60.00
157;58.93
158;60.00
159;15.63
160;53.32
161;45.46
162;53.44
163;54.29
164;54.61
165;39.23
166;58.61
167;60.00
168;60.00
169;60.00
170;60.00
171;22.86
172;7.40
173;38.68
174;59.99
175;59.27
176;59.08
177;27.36
178;48.30
179;44.44
180;57.37
181;55.13
182;57.78
183;50.89
184;42.33
185;59.99
186;60.00
187;60.00
188;60.00
189;20.98
190;49.56
191;44.49
192;53.69
193;56.41
194;53.19
195;38.78
196;58.59
197;59.21
198;60.00
199;60.00
200;59.40
201;23.45
202;53.32
203;44.74
204;32.88
205;53.33
206;38.42
207;60.00
208;60.00
209;59.39
210;41.49
211;59.84
212;25.51
