Iteration; Rate
1;0.46
2;14.92
3;3.47
4;9.55
5;60.24
6;58.88
7;58.85
8;62.36
9;61.63
10;59.80
11;60.93
12;60.29
13;58.85
14;62.03
15;59.33
16;58.82
17;62.48
18;58.99
19;62.42
20;58.95
21;61.85
22;59.46
23;61.29
24;60.05
25;60.68
26;60.36
27;59.00
28;59.97
29;62.20
30;59.15
31;61.62
32;59.61
33;61.13
34;60.15
35;58.99
36;62.03
37;59.21
38;61.56
39;60.36
40;60.36
41;60.07
42;60.66
43;57.04
44;62.64
45;61.72
46;59.55
47;61.20
48;59.97
49;59.08
50;62.11
51;59.16
52;61.61
53;59.73
54;58.70
55;62.76
56;60.39
57;60.37
58;60.36
59;60.36
60;59.74
61;58.87
62;62.47
63;58.73
64;62.22
65;59.39
66;61.37
67;59.79
68;60.95
69;60.36
70;58.90
71;58.72
72;62.66
73;61.35
74;59.94
75;60.79
76;60.36
77;58.97
78;61.82
79;59.47
80;61.28
81;60.04
82;60.69
83;60.36
84;59.18
85;58.86
86;62.48
87;61.08
88;60.24
89;60.49
90;60.36
91;60.36
92;60.37
93;59.55
94;61.19
95;60.11
96;60.61
97;60.36
98;58.65
99;62.18
100;59.29
101;61.48
102;59.85
103;58.80
104;62.54
105;60.38
106;57.47
107;62.54
108;58.86
109;62.59
110;60.70
111;60.36
112;60.36
113;60.36
114;59.46
115;61.29
116;60.02
117;60.71
118;60.36
119;59.09
120;61.69
121;59.73
122;58.78
123;62.48
124;60.58
125;60.37
126;59.02
127;61.77
128;59.70
129;61.04
130;60.30
131;60.43
132;60.36
133;59.26
134;61.51
135;59.75
136;58.75
137;62.70
138;58.81
139;62.02
140;60.38
141;60.36
142;60.36
143;58.29
144;62.48
145;60.46
146;60.36
147;60.36
148;57.92
149;62.52
150;60.82
151;60.36
152;60.36
153;60.36
154;59.40
155;61.36
156;60.02
157;60.71
158;57.33
159;62.29
160;60.03
161;62.07
162;58.19
163;62.54
164;60.51
165;60.36
166;60.36
167;60.36
168;59.79
169;60.95
170;60.32
171;60.41
172;60.36
173;59.53
174;58.85
175;62.51
176;60.69
177;60.36
178;60.36
179;60.11
180;58.85
181;62.22
182;60.36
183;60.36
184;60.36
185;60.36
186;59.77
187;58.88
188;62.45
189;60.46
190;57.25
191;62.32
192;61.78
193;59.61
194;61.13
195;60.15
196;58.83
197;62.20
198;60.36
199;60.36
200;59.04
201;61.75
202;59.48
203;61.27
204;60.00
205;60.74
206;60.36
207;59.21
208;61.56
209;59.59
210;61.15
211;60.34
212;58.88
213;61.95
214;60.36
215;59.48
216;61.27
217;59.69
218;61.03
219;60.32
220;60.43
221;60.36
222;60.35
223;60.38
224;60.37
225;60.36
226;57.93
227;60.71
228;62.44
229;60.54
230;60.36
231;59.27
232;61.49
233;59.73
234;61.00
235;60.37
236;58.56
237;59.08
238;63.70
239;60.34
240;59.95
241;60.80
242;60.36
243;58.99
244;61.80
245;60.36
246;57.80
247;62.51
248;58.85
249;62.59
250;58.83
251;61.98
252;59.44
253;61.31
254;59.97
255;58.79
256;62.44
257;59.00
258;58.92
259;62.48
260;58.76
261;62.55
262;60.73
263;60.36
264;59.07
265;61.71
266;59.55
267;61.20
268;60.05
269;60.68
270;60.36
271;60.36
272;57.74
273;63.21
274;60.39
275;60.17
276;58.81
277;62.20
278;59.20
279;61.57
280;59.66
281;58.71
282;62.56
283;58.74
284;62.38
285;59.24
286;61.53
287;59.86
288;60.87
289;60.28
290;58.96
291;61.92
292;60.36
293;60.37
294;60.36
295;60.36
296;60.15
297;60.58
298;60.36
299;60.36
300;57.87
301;62.46
302;60.95
303;56.98
304;64.17
305;60.36
306;59.51
307;61.24
308;59.83
309;60.90
310;60.30
311;60.42
312;60.36
313;58.98
314;59.13
315;62.46
316;61.02
317;60.28
318;60.44
319;57.16
320;62.59
321;61.62
322;59.69
323;61.05
324;60.27
325;58.77
326;62.14
327;60.36
328;60.36
329;59.74
330;60.99
331;60.34
332;60.39
333;60.36
334;60.36
335;60.36
336;59.96
337;36.78
338;59.38
339;61.37
340;60.09
341;60.57
342;60.42
343;60.36
344;59.32
345;61.45
346;59.87
347;58.86
348;62.45
349;60.39
350;60.36
351;60.36
352;60.36
353;59.97
354;60.76
355;60.37
356;59.01
357;61.77
358;59.32
359;61.44
360;60.15
361;60.57
362;60.36
363;59.16
364;58.90
365;62.47
366;61.07
367;60.25
368;60.48
369;60.36
370;60.36
371;60.36
372;59.84
373;60.90
374;60.33
375;60.39
376;60.36
377;60.36
378;60.37
379;60.36
380;59.71
381;58.72
382;62.51
383;60.44
384;58.55
385;62.46
386;58.98
387;61.85
388;59.48
389;58.91
390;62.43
391;58.88
392;62.32
393;60.36
394;57.65
395;62.43
396;61.23
397;60.14
398;58.89
399;62.14
400;60.36
401;57.34
402;62.54
403;61.46
404;59.92
405;60.82
406;60.36
407;60.36
408;60.36
409;60.36
410;57.98
411;62.51
412;60.77
413;57.05
414;62.51
415;61.82
416;59.57
417;58.91
418;62.74
419;58.64
420;62.19
421;60.36
422;60.36
423;60.36
424;59.21
425;61.55
426;59.76
427;60.98
428;60.22
429;60.50
430;60.36
431;60.36
432;60.36
433;59.79
434;60.95
435;60.29
436;60.44
437;60.36
438;60.36
439;60.36
440;59.65
441;61.09
442;60.33
443;60.40
444;60.36
445;59.42
446;61.34
447;60.01
448;60.72
449;60.36
450;60.36
451;60.36
452;59.50
453;61.25
454;60.13
455;58.85
456;62.21
457;59.08
458;58.88
459;62.44
460;61.20
461;59.81
462;60.92
463;60.19
464;59.02
465;61.95
466;59.36
467;61.39
468;59.85
469;60.88
470;60.32
471;60.40
472;60.36
473;59.25
474;58.67
475;62.44
476;61.24
477;60.12
478;58.88
479;62.18
480;59.18
481;61.60
482;60.36
483;60.36
484;60.08
485;58.99
486;62.10
487;60.36
488;60.36
489;60.36
490;58.05
491;62.13
492;61.06
493;60.27
494;58.47
495;62.48
496;59.31
497;61.45
498;59.81
499;58.89
500;62.50
501;60.36
502;60.36
503;60.36
504;60.35
505;59.96
506;58.88
507;62.36
508;59.01
509;58.87
510;62.57
511;61.16
512;60.02
513;60.66
514;60.41
515;59.05
516;58.65
517;62.66
518;61.26
519;59.90
520;60.83
521;60.36
522;59.11
523;58.92
524;62.50
525;61.06
526;60.12
527;60.60
528;60.36
529;34.02
530;60.35
531;60.35
532;60.38
533;60.36
534;60.36
535;60.21
536;60.51
537;60.36
538;59.25
539;61.52
540;58.04
541;62.46
542;60.74
543;60.36
544;60.36
545;60.36
546;59.61
547;58.86
548;62.61
549;58.76
550;62.20
551;59.12
552;61.65
553;59.60
554;61.14
555;60.08
556;60.65
557;60.36
558;60.36
559;60.37
560;59.61
561;58.87
562;62.63
563;58.63
564;62.30
565;59.09
566;61.70
567;60.36
568;60.36
569;60.12
570;58.87
571;62.20
572;59.21
573;61.56
574;59.73
575;61.00
576;60.29
577;60.43
578;60.36
579;59.26
580;61.51
581;60.36
582;60.36
583;60.22
584;60.51
585;60.36
586;60.36
587;60.36
588;60.36
589;58.43
590;62.35
591;60.43
592;60.37
593;59.35
594;59.02
595;62.29
596;58.96
597;62.39
598;58.37
599;62.50
600;59.17
601;61.61
602;59.64
603;58.90
604;62.53
605;58.92
606;62.02
607;59.30
608;58.66
609;62.60
610;61.05
611;60.24
612;60.48
613;60.36
614;60.36
615;60.36
616;59.76
617;58.93
618;62.46
619;60.41
620;60.36
621;59.37
622;61.39
623;59.81
624;58.89
625;62.45
626;58.89
627;61.95
628;59.38
629;58.95
630;62.49
631;58.82
632;62.40
633;59.10
634;61.69
635;59.55
636;61.20
637;60.08
638;60.64
639;60.36
640;60.36
641;60.36
642;59.59
643;61.16
644;60.06
645;58.82
646;62.30
647;59.18
648;61.59
649;59.72
650;61.02
651;60.26
652;58.81
653;62.11
654;59.35
655;61.41
656;59.84
657;58.89
658;62.47
659;58.78
660;62.03
661;59.42
662;58.93
663;62.52
664;60.70
665;60.35
666;58.98
667;61.82
668;59.60
669;61.14
670;59.85
671;59.04
672;62.28
673;59.19
674;61.57
675;59.65
676;58.96
677;62.48
678;58.85
679;62.08
680;59.32
681;61.45
682;59.79
683;60.95
684;60.33
685;58.81
686;62.02
687;59.36
688;61.40
689;59.88
690;60.87
691;60.36
692;58.96
693;61.83
694;59.51
695;61.23
696;60.00
697;60.72
698;60.37
699;58.97
700;61.83
701;59.58
702;61.16
703;60.15
704;60.58
705;60.35
706;60.37
707;60.35
708;60.37
709;60.34
710;60.22
711;60.52
712;60.35
713;59.27
714;61.51
715;59.93
716;60.80
717;60.36
718;58.92
719;61.88
720;59.50
721;60.54
722;58.90
723;62.54
724;58.86
725;62.03
726;59.27
727;61.52
728;59.85
729;58.85
730;62.50
731;58.88
732;61.93
733;59.43
734;61.33
735;59.97
736;60.76
737;60.36
738;58.93
739;61.86
740;59.45
741;61.30
742;59.94
743;58.85
744;62.40
745;59.08
746;58.70
747;62.69
748;58.80
749;62.54
750;60.64
751;60.36
752;59.21
753;58.82
754;62.49
755;58.92
756;62.48
757;58.87
758;62.07
759;59.36
760;58.88
761;62.33
762;61.01
763;60.33
764;58.82
765;62.02
766;60.36
767;60.36
768;59.84
769;58.63
770;62.46
771;60.64
772;57.30
773;63.77
774;57.73
775;62.47
776;35.72
777;60.36
778;60.35
779;59.41
780;61.35
781;60.08
782;58.89
783;62.20
784;60.36
785;60.36
786;59.64
787;61.10
788;60.21
789;58.86
790;62.11
791;59.28
792;58.79
793;62.52
794;60.99
795;60.33
796;60.40
797;60.36
798;60.36
799;57.86
800;62.57
801;60.86
802;60.36
803;60.36
804;60.36
805;59.46
806;61.30
807;60.01
808;60.72
809;60.35
810;58.93
811;61.89
812;59.36
813;61.40
814;60.09
815;60.64
816;60.36
817;59.12
818;61.65
819;59.66
820;58.88
821;62.52
822;58.84
823;62.11
824;59.28
825;61.48
826;59.62
827;58.83
828;62.61
829;60.51
830;60.36
831;59.27
832;58.82
833;62.51
834;58.89
835;62.57
836;60.37
837;60.36
838;60.36
839;60.36
840;60.00
841;60.73
842;60.36
843;60.36
844;60.36
845;59.59
846;58.64
847;63.02
848;58.56
849;62.25
850;59.23
851;61.57
852;59.69
853;61.05
854;60.20
855;60.53
856;60.36
857;59.25
858;61.52
859;59.81
860;60.92
861;60.33
862;60.40
863;60.36
864;60.36
865;60.36
866;60.36
867;60.36
868;60.36
869;59.02
870;61.77
871;59.38
872;58.79
873;62.54
874;59.06
875;58.86
876;62.47
877;58.91
878;63.34
879;60.36
880;59.92
881;59.12
882;62.13
883;60.36
884;60.36
885;60.36
886;58.16
887;62.49
888;58.89
889;62.15
890;60.36
891;57.78
892;62.54
893;60.96
894;60.28
895;58.89
896;61.99
897;59.28
898;58.67
899;62.42
900;58.81
901;62.58
902;60.68
903;60.36
904;59.19
905;61.58
906;60.36
907;58.22
908;62.53
909;60.49
910;60.36
911;60.36
912;60.36
913;59.63
914;58.82
915;62.67
916;58.67
917;62.27
918;59.19
919;61.59
920;59.73
921;61.01
922;60.26
923;60.46
924;60.36
925;59.27
926;61.49
927;59.94
928;60.79
929;60.36
930;58.95
931;61.85
932;60.36
933;60.36
934;59.98
935;60.75
936;60.36
937;59.10
938;61.68
939;59.63
940;58.77
941;62.60
942;58.81
943;62.23
944;59.21
945;58.77
946;62.59
947;61.03
948;60.21
949;58.87
950;62.10
951;60.36
952;60.36
953;59.71
954;61.03
955;60.36
956;58.83
957;58.92
958;62.50
959;58.73
960;62.58
961;58.76
962;62.58
963;58.90
964;61.94
965;59.11
966;58.92
967;63.25
968;57.90
969;62.49
970;58.93
971;62.42
972;60.36
973;57.53
974;62.43
975;61.35
976;59.95
977;60.78
978;60.36
979;59.09
980;61.69
981;60.36
982;58.22
983;62.48
984;58.91
985;62.06
986;59.31
987;61.47
988;59.83
989;58.85
990;62.53
991;58.27
992;62.52
993;58.82
994;62.07
995;59.37
996;58.85
997;62.55
998;60.81
999;60.36
1000;60.36
1001;26.57
1002;59.77
1003;60.96
1004;60.34
1005;58.85
1006;61.98
1007;59.38
1008;61.36
1009;59.93
1010;60.80
1011;60.36
1012;58.91
1013;61.90
1014;60.36
1015;60.36
1016;59.96
1017;60.77
1018;60.36
1019;59.01
1020;61.78
1021;59.58
1022;61.16
1023;60.08
1024;58.89
1025;62.20
1026;59.10
1027;61.68
1028;60.36
1029;58.01
1030;62.74
1031;58.79
1032;62.20
1033;59.09
1034;58.99
1035;62.52
1036;58.84
1037;62.58
1038;58.82
1039;62.04
1040;59.33
1041;58.80
1042;62.61
1043;58.80
1044;62.53
1045;60.36
1046;60.36
1047;59.47
1048;61.28
1049;60.00
1050;58.79
1051;62.40
1052;59.02
1053;58.81
1054;62.52
1055;61.26
1056;60.10
1057;58.84
1058;62.25
1059;59.06
1060;58.94
1061;62.45
1062;58.91
1063;62.70
1064;60.36
1065;60.36
1066;59.87
1067;60.87
1068;60.36
1069;60.36
1070;60.36
1071;59.40
1072;61.35
1073;59.89
1074;58.84
1075;62.47
1076;59.03
1077;61.75
1078;59.56
1079;58.81
1080;62.61
1081;60.60
1082;60.36
1083;59.15
1084;58.83
1085;62.60
1086;61.02
1087;60.17
1088;58.91
1089;62.09
1090;59.19
1091;61.58
1092;59.81
1093;58.82
1094;62.56
1095;60.38
1096;60.36
1097;59.34
1098;61.42
1099;59.84
1100;58.93
1101;62.42
1102;60.36
1103;60.36
1104;59.45
1105;58.86
1106;62.93
1107;58.54
1108;62.30
1109;60.36
1110;60.36
1111;60.36
1112;60.36
1113;60.19
1114;58.83
1115;62.16
1116;60.36
1117;60.36
1118;59.74
1119;58.81
1120;62.61
1121;58.76
1122;62.12
1123;59.29
1124;58.84
1125;62.62
1126;58.84
1127;62.48
1128;60.36
1129;60.36
1130;59.38
1131;61.38
1132;59.94
1133;58.87
1134;62.39
1135;59.02
1136;61.77
1137;59.49
1138;61.26
1139;60.05
1140;58.86
1141;62.27
1142;59.08
1143;58.76
1144;63.47
1145;60.36
1146;60.22
1147;60.50
1148;60.36
1149;59.18
1150;61.59
1151;59.72
1152;61.02
1153;60.31
1154;58.84
1155;62.02
1156;59.26
1157;61.50
1158;59.80
1159;60.94
1160;60.36
1161;58.79
1162;62.02
1163;59.41
1164;61.35
1165;59.51
1166;61.24
1167;60.01
1168;60.72
1169;60.36
1170;59.11
1171;61.67
1172;59.64
1173;61.11
1174;60.23
1175;58.86
1176;62.07
1177;59.22
1178;61.56
1179;60.36
1180;58.34
1181;62.51
1182;58.88
1183;61.94
1184;60.36
1185;60.36
1186;59.98
1187;34.30
1188;59.45
1189;61.29
1190;59.98
1191;60.75
1192;60.36
1193;59.01
1194;61.78
1195;60.36
1196;60.36
1197;60.36
1198;60.36
1199;60.36
1200;60.36
1201;59.32
1202;61.45
1203;59.88
1204;60.86
1205;60.36
1206;58.75
1207;62.07
1208;59.45
1209;61.31
1210;59.99
1211;58.81
1212;62.39
1213;60.36
1214;60.36
1215;59.47
1216;61.29
1217;60.06
1218;60.67
1219;60.36
1220;59.10
1221;61.68
1222;59.56
1223;61.19
1224;60.18
1225;58.87
1226;62.12
1227;59.23
1228;61.54
1229;59.63
1230;58.95
1231;62.64
1232;60.36
1233;60.36
1234;59.32
1235;61.45
1236;59.89
1237;60.84
1238;60.36
1239;60.37
1240;57.48
1241;60.60
1242;62.52
1243;58.85
1244;62.58
1245;60.48
1246;60.36
1247;60.36
1248;60.36
1249;59.81
1250;58.91
1251;62.49
1252;60.36
1253;60.36
1254;59.35
1255;61.41
1256;59.98
1257;58.84
1258;62.37
1259;58.93
1260;61.86
1261;60.36
1262;60.36
1263;60.09
1264;60.63
1265;60.36
1266;59.12
1267;61.66
1268;59.67
1269;58.84
1270;62.33
1271;58.91
1272;62.26
1273;59.20
1274;58.85
1275;62.58
1276;60.97
1277;60.26
1278;60.00
1279;58.85
1280;62.45
1281;58.89
1282;61.91
1283;59.47
1284;58.83
1285;62.56
1286;58.84
1287;62.33
1288;60.36
1289;60.36
1290;59.56
1291;58.86
1292;62.56
1293;60.59
1294;60.36
1295;59.15
1296;58.80
1297;62.62
1298;61.03
1299;60.23
1300;58.84
1301;62.10
1302;59.26
1303;61.51
1304;59.80
1305;60.93
1306;60.35
1307;60.38
1308;60.36
1309;60.36
1310;60.36
1311;60.36
1312;58.36
1313;62.51
1314;60.36
1315;60.36
1316;60.36
1317;60.35
1318;59.92
1319;58.97
1320;62.30
1321;59.07
1322;61.71
1323;59.64
1324;61.10
1325;60.18
1326;60.54
1327;60.36
1328;60.36
1329;60.32
1330;60.41
1331;58.19
1332;62.66
1333;60.41
1334;57.33
1335;63.73
1336;60.36
1337;59.89
1338;60.84
1339;60.36
1340;58.93
1341;61.87
1342;59.46
1343;61.29
1344;59.99
1345;60.74
1346;57.10
1347;62.48
1348;61.80
1349;59.54
1350;61.21
1351;60.13
1352;58.85
1353;62.21
1354;59.16
1355;61.61
1356;59.67
1357;58.87
1358;62.54
1359;29.96
1360;46.28
1361;83.50
1362;62.04
1363;60.36
1364;57.85
1365;62.52
1366;60.91
1367;60.36
1368;58.91
1369;61.87
1370;60.38
1371;60.36
1372;59.97
1373;60.76
1374;60.36
1375;59.02
