Iteration; Rate; Sensors; Actuators
1;0.41;;;
2;9.43;;;
3;4.38;Y;;
4;26.59;;;
5;59.34;;;
6;57.23;;;
7;60.72;;;
8;60.23;;;
9;59.35;;;
10;59.35;;;
11;59.35;;;
12;58.11;;;
13;60.64;;;
14;59.04;;;
15;45.09;;;
16;58.65;;;
17;60.06;;Y;
18;58.04;;;
19;60.72;;;
20;59.31;;;
21;57.47;;;
22;61.40;;;
23;56.56;;;
24;62.43;;;
25;59.35;;;
26;56.99;;;
27;61.92;;;
28;59.34;;;
29;57.28;;;
30;58.98;;;
31;60.56;;;
32;60.72;;;
33;59.07;;;
34;59.64;;;
35;59.35;;;
36;58.87;;;
37;58.75;;;
38;60.46;;;
39;59.33;;;
40;57.31;;;
41;61.55;;;
42;56.48;;;
43;62.52;;;
44;59.36;;;
45;59.34;;;
46;59.35;;;
47;57.69;;;
48;60.84;;;
49;59.62;;;
50;59.35;;;
51;59.07;;;
52;59.63;;;
53;59.35;;;
54;59.33;;;
55;59.17;;;
56;58.99;;;
57;59.92;;;
58;59.31;;;
59;59.12;;;
60;59.11;;;
61;57.25;;;
62;62.16;;;
63;59.26;;;
64;58.94;;;
65;59.86;;;
66;59.34;;;
67;57.68;;;
68;58.94;;;
69;60.72;;;
70;60.17;;;
71;59.35;;;
72;57.33;;;
73;60.80;;;
74;60.03;;;
75;57.34;;;
76;61.51;;;
77;58.40;;;
78;58.81;;;
79;60.88;;;
80;59.38;;;
81;56.78;;;
82;60.74;;;
83;60.70;;;
84;59.36;;;
85;59.35;;;
86;58.88;;;
87;58.86;;;
88;60.33;;;
89;59.35;;;
90;59.34;;;
91;59.36;;;
92;59.02;;;
93;59.68;;;
94;59.35;;;
95;59.36;;;
96;59.35;;;
97;58.67;;;
98;60.05;;;
99;59.10;;;
100;58.87;;;
101;60.10;;;
102;59.35;;;
103;59.35;;;
104;59.35;;;
105;59.15;;;
106;59.56;;;
107;56.55;;;
108;62.44;;;
109;58.64;;;
110;60.08;;;
111;59.35;;;
112;57.44;;;
113;60.44;;;
114;60.26;;;
115;58.67;;;
116;60.04;;;
117;59.33;;;
118;59.20;;;
119;50.10;;;
120;57.26;;;
121;61.59;;;
122;59.34;;;
123;59.35;;;
124;58.89;;;
125;59.83;;;
126;59.35;;;
127;59.32;;;
128;59.38;;;
129;57.02;;;
130;60.75;;;
131;60.41;;;
132;59.37;;;
133;58.15;;;
134;60.45;;;
135;59.49;;;
136;58.46;;;
137;60.26;;;
138;59.35;;;
139;59.36;;;
140;57.81;;;
141;58.93;;;
142;61.40;;;
143;59.35;;;
144;59.34;;;
145;59.37;;;
146;59.35;;;
147;59.25;;;
148;59.45;;;
149;59.35;;;
150;59.24;;;
151;59.46;;;
152;58.24;;;
153;60.50;;;
154;59.10;;;
155;59.59;;;
156;59.35;;;
157;59.35;;;
158;56.49;;;
159;62.15;;;
160;59.68;;;
161;59.35;;;
162;59.36;;;
163;59.22;;;
164;58.94;;;
165;58.94;;;
166;60.32;;;
167;59.35;;;
168;59.36;;;
169;59.06;;;
170;59.62;;;
171;58.25;;;
172;58.32;;;
173;61.17;;;
174;59.76;;;
175;59.36;;;
176;59.03;;;
177;59.66;;;
178;59.36;;;
179;59.11;;;
180;59.59;;;
181;59.35;;;
182;59.35;;;
183;57.61;;;
184;61.20;;;
185;59.35;;;
186;59.35;;;
187;59.35;;;
188;59.36;;;
189;59.34;;;
190;58.63;;;
191;60.09;;;
192;59.35;;;
193;59.34;;;
194;58.88;;;
195;58.99;;;
196;58.85;;;
197;60.70;;;
198;58.99;;;
199;58.96;;;
200;60.14;;;
201;57.24;;;
202;61.63;;;
203;59.35;;;
204;59.35;;;
205;58.95;;;
206;58.87;;;
207;60.25;;;
208;59.31;;;
209;59.39;;;
210;59.35;;;
211;59.35;;;
212;21.60;Y;;
213;58.20;;;
214;59.31;;;
215;59.39;;;
216;59.32;;;
217;58.61;;;
218;60.15;;;
219;57.77;;;
220;58.96;;;
221;58.96;;;
222;61.87;;;
223;59.33;;;
224;59.19;;;
225;59.52;;;
226;59.34;;;
227;59.36;;;
228;57.54;;;
229;60.73;;Y;
230;59.87;;;
231;57.97;;;
232;60.75;;;
233;58.81;;;
234;59.93;;;
235;59.35;;;
236;59.35;;;
237;57.30;;;
238;60.70;;;
239;57.28;;;
240;62.46;;;
241;59.09;;;
242;59.62;;;
243;59.35;;;
244;59.35;;;
245;57.39;;;
246;60.77;;;
247;58.83;;;
248;60.53;;;
249;57.43;;;
250;61.41;;;
251;57.90;;;
252;58.86;;;
253;60.34;;;
254;60.36;;;
255;58.58;;;
256;57.85;;;
257;61.75;;;
258;59.35;;;
259;59.27;;;
260;58.91;;;
261;57.24;;;
262;62.21;;;
263;59.21;;;
264;59.48;;;
265;59.36;;;
266;59.35;;;
267;57.58;;;
268;61.23;;;
269;59.32;;;
270;58.04;;;
271;59.89;;;
272;60.21;;;
273;59.34;;;
274;59.34;;;
275;59.34;;;
276;59.30;;;
277;59.42;;;
278;58.52;;;
279;60.20;;;
280;59.31;;;
281;58.97;;;
282;59.00;;;
283;60.14;;;
284;58.75;;;
285;59.97;;;
286;59.26;;;
287;58.89;;;
288;59.90;;;
289;57.64;;;
290;60.28;;;
291;60.22;;;
292;59.34;;;
293;58.91;;;
294;59.80;;;
295;56.47;;;
296;62.52;;;
297;58.54;;;
298;60.19;;;
299;59.34;;;
300;57.19;;;
301;60.42;;;
302;60.58;;;
303;56.07;;;
304;63.03;;;
305;59.35;;;
306;59.30;;;
307;59.39;;;
308;58.39;;;
309;60.36;;;
310;59.30;;;
311;58.94;;;
312;58.88;;;
313;60.30;;;
314;58.90;;;
315;59.80;;;
316;56.10;;;
317;62.75;;;
318;57.08;;;
319;62.05;;;
320;59.35;;;
321;59.35;;;
322;58.26;;;
323;58.87;;;
324;60.06;;;
325;60.27;;;
326;57.17;;;
327;61.70;;;
328;59.34;;;
329;57.41;;;
330;61.44;;;
331;56.60;;;
332;62.37;;;
333;59.19;;;
334;59.51;;;
335;59.34;;;
336;59.33;;;
337;59.36;;;
338;58.78;;;
339;59.95;;;
340;59.13;;;
341;58.96;;;
342;58.84;;;
343;60.51;;;
344;59.23;;;
345;59.47;;;
346;59.34;;;
347;59.11;;;
348;59.56;;;
349;57.26;;;
350;61.65;;;
351;59.35;;;
352;59.33;;;
353;59.00;;;
354;59.74;;;
355;57.42;;;
356;61.42;;;
357;59.34;;;
358;59.35;;;
359;59.35;;;
360;58.67;;;
361;58.98;;;
362;60.43;;;
363;59.17;;;
364;59.53;;;
365;59.33;;;
366;59.36;;;
367;59.05;;;
368;59.66;;;
369;56.58;;;
370;62.41;;;
371;59.34;;;
372;58.14;;;
373;60.61;;;
374;59.35;;;
375;57.34;;;
376;61.50;;;
377;59.35;;;
378;59.35;;;
379;59.18;;;
380;59.52;;;
381;59.35;;;
382;59.35;;;
383;59.24;;;
384;57.31;;;
385;60.73;;;
386;60.20;;;
387;59.38;;;
388;57.83;;;
389;60.21;;;
390;60.06;;;
391;59.14;;;
392;59.00;;;
393;59.93;;;
394;59.35;;;
395;59.05;;;
396;59.65;;;
397;56.80;;;
398;62.15;;;
399;59.35;;;
400;59.06;;;
401;59.65;;;
402;58.22;;;
403;60.53;;;
404;59.35;;;
405;58.62;;;
406;58.99;;;
407;60.47;;;
408;59.16;;;
409;59.54;;;
410;59.35;;;
411;57.98;;;
412;60.79;;;
413;58.84;;;
414;58.92;;;
415;60.31;;;
416;59.13;;;
417;57.24;;;
418;60.93;;;
