Iteration; Rate
1;0.47
2;9.01
3;5.07
4;7.25
5;59.34
6;59.35
7;56.84
8;62.09
9;59.35
10;58.98
11;59.72
12;59.35
13;59.35
14;59.35
15;59.36
16;58.29
17;60.44
18;51.69
19;58.08
20;60.68
21;58.76
22;59.95
23;57.97
24;60.75
25;59.38
26;58.04
27;60.66
28;59.01
29;59.76
30;59.36
31;59.35
32;59.35
33;57.54
34;59.04
35;61.19
36;59.75
37;59.27
38;59.09
39;59.69
40;59.35
41;59.34
42;58.64
43;60.09
44;59.30
45;59.41
46;59.36
47;59.34
48;59.35
49;59.15
50;58.95
51;59.96
52;59.35
53;59.22
54;58.96
55;59.84
56;59.37
57;59.37
58;56.26
59;62.80
60;59.34
61;59.36
62;56.32
63;62.72
64;59.32
65;57.47
66;61.39
67;59.36
68;59.35
69;59.36
70;58.01
71;60.75
72;59.06
73;58.81
74;60.20
75;59.34
76;59.35
77;59.35
78;51.92
79;59.34
80;59.36
81;59.35
82;59.01
83;58.85
84;60.21
85;59.34
86;59.05
87;59.01
88;60.00
89;57.85
90;58.93
91;61.38
92;59.35
93;59.35
94;59.23
95;59.48
96;56.75
97;62.21
98;59.06
99;58.86
100;60.14
101;57.79
102;60.57
103;57.20
104;62.11
105;59.35
106;59.36
107;59.22
108;58.80
109;60.04
110;58.18
111;60.58
112;58.93
113;59.78
114;59.34
115;59.36
116;57.86
117;58.96
118;60.78
119;58.94
120;60.30
121;59.26
122;58.98
123;58.82
124;60.37
125;59.32
126;59.38
127;56.91
128;62.01
129;59.35
130;57.88
131;60.30
132;59.93
133;59.35
134;59.34
135;59.35
136;58.68
137;59.39
138;59.99
139;59.36
140;59.09
141;59.61
142;59.36
143;59.34
144;59.36
145;59.34
146;59.35
147;59.34
148;59.35
149;59.31
150;58.46
151;60.30
152;59.36
153;59.35
154;58.49
155;60.14
156;59.45
157;56.85
158;62.08
159;57.75
160;58.84
161;60.91
162;59.99
163;59.33
164;59.38
165;59.37
166;59.35
167;58.61
168;59.45
169;60.01
170;59.34
171;58.88
172;59.83
173;59.31
174;50.01
175;59.03
176;58.71
177;60.32
178;57.15
179;61.73
180;59.35
181;58.43
182;60.31
183;58.06
184;60.70
185;59.35
186;59.34
187;58.39
188;60.36
189;59.34
190;57.25
191;60.69
192;60.24
193;59.36
194;57.29
195;61.57
196;58.15
197;60.60
198;59.13
199;58.39
200;59.03
201;60.91
202;58.61
203;57.30
204;60.81
205;60.43
206;59.73
207;59.35
208;58.77
209;59.28
210;60.00
211;57.91
212;60.77
213;59.45
214;59.05
215;58.67
216;60.36
217;59.31
218;57.29
219;61.61
220;59.35
221;57.72
222;60.77
223;59.65
224;59.33
225;59.36
226;57.31
227;59.04
228;61.88
229;59.02
230;59.68
231;58.19
232;60.56
233;57.35
234;61.12
235;57.29
236;61.93
237;59.32
238;57.44
239;61.43
240;59.33
241;57.83
242;60.65
243;59.67
244;58.30
245;58.96
246;60.69
247;58.64
248;60.20
249;59.36
250;58.98
251;58.97
252;60.13
253;59.35
254;59.08
255;58.91
256;60.08
257;57.80
258;60.98
259;59.34
260;59.36
261;57.92
262;60.86
263;58.82
264;58.89
265;60.36
266;59.32
267;59.36
268;59.36
269;59.16
270;59.53
271;58.02
272;60.75
273;59.34
274;58.56
275;60.17
276;59.34
277;58.89
278;58.79
279;60.41
280;59.35
281;59.35
282;59.27
283;59.43
284;59.34
285;58.57
286;59.17
287;58.89
288;60.83
289;59.34
290;59.34
291;59.36
292;57.78
293;61.01
294;58.70
295;59.02
296;60.36
297;59.19
298;59.51
299;59.35
300;57.93
301;60.69
302;59.49
303;56.68
304;62.28
305;59.33
306;59.36
307;59.35
308;56.52
309;60.74
310;58.97
311;61.42
312;58.10
313;60.62
314;59.38
315;59.35
316;59.35
317;59.24
318;58.71
319;58.86
320;60.23
321;59.08
322;60.01
323;59.31
324;59.21
325;58.95
326;59.93
327;59.36
328;59.35
329;58.71
330;60.00
331;58.04
332;60.72
333;59.35
334;58.44
335;57.30
336;62.56
337;59.34
338;59.36
339;59.34
340;59.36
341;59.35
342;58.61
343;58.96
344;60.52
345;57.10
346;61.78
347;59.33
348;57.58
349;61.25
350;59.35
351;58.00
352;60.76
353;57.34
354;58.84
355;62.06
356;57.78
357;58.90
358;60.69
359;60.12
360;59.35
361;59.35
362;56.96
363;61.95
364;57.89
365;60.69
366;59.53
367;59.35
368;57.59
369;60.74
370;58.90
371;60.27
372;59.10
373;59.60
374;57.46
375;60.90
376;59.79
377;59.35
378;57.56
379;60.62
380;59.98
381;59.34
382;58.96
383;58.92
384;60.20
385;59.35
386;59.14
387;59.55
388;59.36
389;59.35
390;59.35
391;58.49
392;60.24
393;59.34
394;59.36
395;59.34
396;57.36
397;59.03
398;61.84
399;59.34
400;59.37
401;59.34
402;59.35
403;57.97
404;60.76
405;59.39
406;59.35
407;59.35
408;59.35
409;58.30
410;60.44
411;57.21
412;61.66
413;57.97
414;60.72
415;58.87
416;59.04
417;60.21
418;59.37
419;59.35
420;59.32
421;59.37
422;58.48
423;60.25
424;59.34
425;59.35
426;59.34
427;58.05
428;60.73
429;58.99
430;59.69
431;59.36
432;59.37
433;59.10
434;59.59
435;59.36
436;59.34
437;57.51
438;61.33
439;59.35
440;59.34
441;59.35
442;59.32
443;59.39
444;57.97
445;60.80
446;58.91
447;59.79
448;59.34
449;59.36
450;59.35
451;58.63
452;60.05
453;59.39
454;59.34
455;59.35
456;59.35
457;59.34
458;59.36
459;58.82
460;59.90
